answer,preprocessing_result,sentimen
Kalau bisa sering hadir dalam perkuliahan supaya mahasiswa dapat menguasai materi dan paham,kalau sering hadir kuliah mahasiswa kuasa materi paham,0
"Istiqomah, penjelasan yang sangat berharga adalah masa lalu",istiqomah jelas sangat harga masa lalu,1
Ibu Kartika Udah baik.,ibu kartika udah baik,1
Tingkatkan kualitas mengajarnya,tingkat kualitas ajar,0
Memberikan yang terbaik,beri baik,1
Jadi lebih baik dari hari ini,jadi lebih baik hari,0
Bagus,bagus,1
Pertahankan kedisiplinan waktunya bu!!,tahan disiplin waktu bu,0
"Metode pembelajaran sudah baik, namun suasana belajar kurang kondusif",metode ajar baik suasana ajar kurang kondusif,0
Baik,baik,1
Lebih tepat waktu datangnya,lebih tepat waktu datang,1
"Bahasa menggunakan berbagai pemahaman, mungkin lebih baik beberapa kali menggunakan slide yang materinya diberikan kepada mahasiswa berupa copyan atau menggunakan media lain",bahasa bagai paham mungkin lebih baik beberapa kali slide materi beri mahasiswa upa copyan guna media,1
Good,good,0
Good Teacher,good teacher,1
Lebih banyak lagi evaluasi cara mengajarnya,lebih banyak evaluasi cara ajar,0
Tingkatkan dalam mengajar,tingkat ajar,0
"Tingkatkan Pak, Kami senang dengan gaya mengajar Bapak",tingkat pak senang gaya ajar bapak,1
Oke,oke,0
Good,good,0
"Dalam mengajar, bapak mengemasnya dengan menarik membuat mahasiswa tidak tidur",ajar bapak emas tarik buat mahasiswa tidur,0
jangan pelit nilai Pak,jangan pelit nilai pak,1
"Saran lebih bukan ke bapak, melainkan kualitas kampus",saran lebih bukan bapak kualitas kampus,0
jangan ngantukan,jangan ngantukan,0
sip kelas AC nan,sip kelas ac nan,1
Terus tingkatkan,terus tingkat,0
Semoga bapak sehat selalu,moga bapak sehat selalu,1
"perbanyak sesi pertanyaan, kalau kuliah pengganti jangan malam",banyak sesi tanya kalau kuliah ganti jangan malam,0
Dipertahankan cara mengajarnya,tahan cara ajar,0
"Jika menerangkan, ingat kembali ke jalan yang benar",terang ingat ke jalan benar,1
Pak Aziz yang ganteng nilainya jnagan pelit-elit ya...,pak aziz ganteng nilai jnagan pelit-elit,1
Punya bakat stand up comedy,punya bakat stand up comedy,0
Tingkatkan lagi,tingkat,0
"Punya bakat stand up, malam perkuliahan diberikan",punya bakat stand up malam kuliah beri,1
Punya bakat stand up,punya bakat stand up,0
"Sebaiknya saat mengajar jangan terlalu banyak contohnya, karena akan membuang banyak waktu untuk memempelajari materi selanjutnya",baik ajar jangan terlalu banyak contoh akan buang banyak waktu memempelajari materi lanjut,0
Bapaknya mengajar di kelas sangat enak dan menyenagkan tidak garing,bapak ajar kelas sangat enak menyenagkan garing,0
Bapak lucu sekali,bapak lucu sekali,1
Terbaik,baik,1
Fokus pak,fokus pak,1
Saat menerangkan cukup menarik dan tingkatkan,terang cukup tarik tingkat,1
the best,the best,0
tingkatkan,tingkat,0
tetap jadi bpk tri seperti sekarang,tetap jadi bpk tri sekarang,1
tetap menjadikan bpk yg sellau membreikan motivasi kepada kami,tetap jadi bpk yg sellau membreikan motivasi kami,1
Bapak ini kurang jelas dalam memberikan tugas & suka marah-marah gak jelas,bapak kurang jelas beri tugas suka marah gak jelas,0
kurangi kepergian keluar kota untuk mengurangi jadwal pengganti,kurang pergi keluar kota kurang jadwal ganti,0
Good job pak,good job pak,1
saat menjelaskan pelan2,jelas pelan2,0
semangat,semangat,1
asyik abiz tidak bikin mgantuk,asyik abiz bikin mgantuk,1
Dosen kurang jelas memberikan pelajaran (materi) tugas yang diberikan kurang dipahami,dosen kurang jelas beri ajar materi tugas beri kurang paham,0
Materi kuliah yang diberikan sudah cukup baik,materi kuliah beri cukup baik,1
Sip,sip,0
memberikan materi jgn terlalu cepat,beri materi jgn terlalu cepat,0
Ok,,0
Fix,fix,0
semakain lebih bak dari kemarin,semakain lebih bak kemarin,0
memberika yg terbaik,memberika yg baik,1
Lebih memberikan perilaku yang lebih baik agar kami dapat mencontohnya,lebih beri perilaku lebih baik kami contoh,1
pak perbanyak latihan soal,pak banyak latih soal,1
tolong penyampaian materi lebih jelas lagi,sampai materi lebih jelas,0
Ibunya enak cara mengajarnya,ibu enak cara ajar,0
banyakin contok soal,banyakin contok soal,0
Perlu di tingkatkan,perlu tingkat,0
tingkatkan selalu bu,tingkat selalu bu,1
jgn terlalu serius mengajar,jgn terlalu serius ajar,0
jangan terlalu sering diskusi,jangan terlalu sering diskusi,0
pak agus ngajare enak,pak agus ngajare enak,1
good job,good job,0
"Pelajaran Cukup bagus, tapi tidak merasa nyaman akibat suasana kelas yang panas",ajar cukup bagus tidak rasa nyaman akibat suasana kelas panas,1
Penjelasan materi kuliah yang jelas sesuai,jelas materi kuliah jelas sesuai,0
"Lebih mengerti mahasiswa, jangan cuma mengejar tugas sebagai dosen hingga memberatkan mahasiswa",lebih erti mahasiswa jangan cuma kejar tugas bagai dosen hingga berat mahasiswa,0
"Terlalu banyak mahasiswa dalam satu ruang kelas sehingga panas, lebih baik ACnya ditambah",terlalu banyak mahasiswa satu ruang kelas panas lebih baik acnya tambah,1
"Terbaik, ok",baik,1
"Lumayan baik dalam pengajaran, dipertahankan bila perlu ditingkatkan",lumayan baik ajar tahan bila perlu tingkat,0
Mohon dibantu bila ada kejelekan nilai,mohon bantu bila jelek nilai,0
Good,good,0
"untuk mata kuliah ini, memberikan contoh yang lebih detail dan secara perlahan karena harus dipahami dengan benar karena setiap mahasiswa berbeda tingkat kemampuannya",mata kuliah beri contoh lebih detail cara perlahan harus paham benar tiap mahasiswa beda tingkat mampu,1
"Berikan materi dulu dan memastikan mahasiswa ngerti/memehami, baru aplikasi soal sebelum aplikasi diberikan contoh yang runtut",ikan materi dulu pasti mahasiswa ngerti ham baru aplikasi soal aplikasi beri contoh runtut,0
Kami kurang memahami materi yang diberikan dosen karena cara pengajarannya susah dipahami,kurang paham materi beri dosen cara ajar susah paham,0
Bahasa yang digunakan sangat tinggi membawa mahasiswa pusing untuk memahami materi,bahasa guna sangat tinggi bawa mahasiswa pusing paham materi,0
Lebih baik lagi,lebih baik,1
nice,nice,0
kurang on time,kurang on time,0
kurang on time,kurang on time,0
gak pernah tepat waktu,gak pernah tepat waktu,1
Tingkatkan lagi prestasinya Pak,tingkat prestasi pak,1
Tingkatkan kualitas kelas,tingkat kualitas kelas,0
Kalau masuk harap lebih on time lagi Pak,kalau masuk harap lebih on time pak,1
"Sudah cukup baik, Perlu jditingkatkan ketepatan dan kedisiplinannya waktu mengajar",cukup baik perlu jditingkatkan tepat disiplin waktu ajar,0
yeah for do it !,yeah for do it,1
usahakan sering masuk,usaha sering masuk,0
ganti dosennya yg lebih mau masuk,ganti dosen yg lebih mau masuk,0
tingkatkan,tingkat,0
dosen jarang masuk,dosen jarang masuk,1
lebih sering tatap muka,lebih sering tatap muka,0
Nice !!,nice,0
Aelole Joss!,aelole joss,0
waktu keterlambatan 30 menit,waktu lambat 30 menit,0
Uasnya sesuai contoh ya Bu,uasnya sesuai contoh bu,0
keren dah,keren dah,1
"Kebanyakan tugas, tolong kasih nilai A/B",banyak tugas kasih nilai a b,1
Good Job,good job,0
"Jangan sering buli pak, kasihan diketawain sama yg lain..",jangan sering buli pak kasihan diketawain sama yg,0
"Bagus sekali, tingkatkan pak!!",bagus sekali tingkat pak,1
Kami hanya butuh AC...,hanya butuh ac,1
Kebanyakan telat!!,banyak telat,1
Usahakan yg menarik cara memberikan contoh hangat yg sedang terjadi.,usaha yg tarik cara beri contoh hangat yg sedang jadi,1
Dalam menyampaikan materi hrs ditulis bagian2 yg berkaitan dg materi.,sampai materi hrs tulis bagian2 yg kait dg materi,0
Bila kosong mohon konfirmasi ke koordinator kelas,bila kosong mohon konfirmasi koordinator kelas,0
"Terimakasi untuk menggunakan 2 bahasa dalam mengajar kami, semoga anda dapat memotivasi Dosen yang lain untuk menggunakan 2 bahasa",terimakasi guna 2 bahasa ajar moga dapat motivasi dosen lain guna 2 bahasa,0
lanjutkan,lanjut,0
Bahasa jawanya dikurangi dikit karena tidak begitu mengerti,bahasa jawanya rang dikit tidak erti,0
biar kumlot,biar kumlot,1
Aktifkan E-learning,aktif e-learning,0
luar biasa,luar biasa,1
Ibunya memberikan materi dan cara cepat untuk memahami sistem informasi sesuai teknologi,ibu beri materi cara cepat paham sistem informasi sesuai teknologi,1
tugas yang dikerjakan lebih baik dikembalikan ke mahasiswa setelah dioeriksa agar mahasiswa dapat memperbaiki,tugas kerja lebih baik ke mahasiswa dioeriksa mahasiswa baik,1
Sulit memahami materi yang diajarkan mohon diganti,sulit paham materi ajar mohon ganti,0
"Menurut saya , Dosen seharusnya bisa lebih menguasai kelas dengan lebih baik",turut dosen bisa lebih kuasa kelas lebih baik,1
jgn ada jam pengganti ya bu,jgn jam ganti bu,0
sehat trus ya bu we love you,sehat trus bu we love you,0
sehat trus ya bu jaga kondisi terutama musim hujan,sehat trus bu jaga kondisi utama musim hujan,1
jgn diperlakukan sebagai murid tetapi di perlakukan sebagai mhsw,jgn laku bagai murid di laku bagai mhsw,1
jarang masuk,jarang masuk,1
jarang masuk,jarang masuk,1
tingkatkan,tingkat,0
bu ampun grusa gr4usu menawi njentehakaen materi,bu ampun grusa gr4usu menawi njentehakaen materi,0
bu yg jelas ya jgn tergesa gesa,bu yg jelas jgn gesa gesa,1
Mohon mundur jadi dosen matakuliah ini jika tidak bisa menguasi dengan baik materi ini terimakasih,mohon mundur jadi dosen matakuliah jika bisa kuasi baik materi terimakasih,0
Kurang Bagus,kurang bagus,1
untuk mengajar sebaiknya menggunakan rujukan yang jelas,ajar baik rujuk jelas,0
Terlalu bawa perasaan,terlalu bawa asa,0
Kurang Kompeten terlalu terpaku pada slide,kurang kompeten terlalu terpa slide,0
Sangat kurang mohon dievaluasi sebaik-baiknya,sangat kurang mohon evaluasi baik,1
Selalu berjuang,selalu juang,1
Jangan egois pak sama mahasiswa,jangan egois pak sama mahasiswa,1
Cara penyampaian materi dibuat lebih baik san sesuai dengan minat mahasiswa,cara materi buat lebih baik san sesuai minat mahasiswa,1
Cara mengajar masih kurang,cara ajar kurang,0
Pak mohon dukung mahasiswa jangan malah menghambat,pak mohon dukung mahasiswa jangan malah hambat,1
pak Son jangan dibidang metode numerik mending sesuai dengan bidang keahliannya masalahnya kurang paham,pak son jangan bidang metode numerik mending sesuai bidang ahli masalah kurang paham,0
"Jangan Pelit Nilai , saat ujian terlalu singkat",jangan pelit nilai uji terlalu singkat,0
Waktu saat UTS tidak sebanding dentgan soal yang banyak,waktu uts banding dentgan soal banyak,0
"Saya sangat senang dengan kuliah Pak Son akan tetapi Pak, sebagian dari kami mohon utk bapak lebih menguasi kelas lagi agar belajar mengajar lebih tenang dan nyaman",sangat senang kuliah pak son tetapi pak dari mohon utk bapak lebih kuasi kelas agar ajar ajar lebih tenang nyaman,1
Kelas diberi AC gerah,kelas beri ac gerah,1
ok,,0
Meratalah dengan mahasiswa Pak jangan suka sombong ya Pak,rata mahasiswa pak jangan suka sombong pak,1
Rujukan kuliah lebih jelas lagi,rujuk kuliah lebih jelas,0
Orang kreatif selalu ada tempat gak ada loo gak rame,orang kreatif selalu tempat gak loo gak rame,1
"Kalau bisa saat memberikan tugas, tugasnya kelompok supaya bisa berdiskusi dengan yang lain dan yang belum paham bisa paham.",kalau saat beri tugas tugas kelompok diskus dan yang belum paham bisa paham,0
"Kalau bisa, banyakin berdiskusi karena diantara kami belum tentu mengerti semua. terimakasih",kalau banyakin diskus antara belum erti semua terimakasih,0
Semoga kedepanya semakin keren dan semakin greget supaya lebih mudah di kuasai,moga depa makin keren makin greget lebih mudah kuasa,1
Harapan saya kedepannya semoga proses belajar mengajarnya semakin baik lagi,harap depan moga proses ajar ajar makin baik,1
Cukup puas dengan pengajaran dosen di matakuliah ini,cukup puas ajar dosen matakuliah,0
Lebih banyak diberikan latihan yang bervariasi,lebih banyak beri latih variasi,1
Jangan terlalu cepat ketika menjelaskan materi,jangan terlalu cepat jelas materi,0
Menjelaskan materinya jangan terlalu cepat,jelas materi jangan terlalu cepat,0
saya sebagai mahasiswa memberi saran supaya kata sangat dihapuskan karena sifat sangat atau paling hanya milik Alloh terimakasih,bagai mahasiswa beri saran kata sangat hapus sifat sangat paling milik alloh terimakasih,0
Contoh contoh pembelajarannya lebih di perjelas lagi,contoh contoh ajar lebih jelas,0
Tetap jadi dosen yang baik,tetap jadi dosen baik,1
Semoga hasil mengajar berkah untuk kami,moga hasil ajar berkah kami,1
ibu harus lebih memperhatikan mhs. yang malas atau terlambat untuk dimotivasi agar pas di kelas seger gitu,ibu lebih perhati mhs malas lambat motivasi pas kelas seger gitu,0
"Beberapa kali salah menerapkan rumus-rumus, sehingga kalau diterapkan di praktikum menjadi salah, padahal yang kami dapat dikelas seperti itu. Lebih dipelajari lagi sebelum disampaikan ke mahasiswa",beberapa kali salah terap rumus kalau terap praktikum jadi salah padahal kami kelas itu lebih ajar belum ke mahasiswa,0
Lebih koordinasi dengan dosen statistika yang lain karena sering ada perbedaan cara menghitung padahal materi sama,lebih koordinasi dosen statistika lain sering beda cara hitung padahal materi sama,0
"Pada saat ujian tengah semester Pengawas tidak mengijinkan memakai HP Padahal kata ibunya boleh, itu harus di tindak lanjuti, harus ada koordinasi antar dosen dan pengawas",saat uji tengah semester awas mengijinkan pakai hp padahal kata ibu itu di tindak lanjut ada koordinasi antar dosen awas,0
Jangan pelit nilai,jangan pelit nilai,1
Berikan yang terbaik untuk mahasiswaz dan beri kenyaman di dalam kelas,ikan baik mahasiswaz beri kenyam dalam kelas,1
Usaha maksimal hasil minimal jangan pelit nilai,usaha maksimal hasil minimal jangan pelit nilai,1
Dosen sebaiknya lebih memberikan tugas yang sesuai dengan kemampuan  & manajemen waktu mahasiswa. Lebih baik tugas itu sedikit namun berkualitas,dosen baik lebih beri tugas sesuai mampu manajemen waktu mahasiswa lebih baik tugas sedikit kualitas,1
Lebih memotivasi mahasiswa lagi dan gambaran teknik kimia lebih di jelaskan supaya mahasiswa lebih semangat,lebih motivasi mahasiswa dan gambar teknik kimia lebih jelas mahasiswa lebih semangat,0
Materi tolong ada referensi dari dosen,materi ada referensi dosen,0
fix mantap,fix mantap,1
Tambahan buat bapak dosen agar pada saat kuliah berlangsung harus lebih memfokuskan kemateri dan mengajak mahasiswa aktid dal belajar dan gairah kuliah,tambah buat bapak dosen pada kuliah langsung lebih fokus materi ajak mahasiswa aktid dal ajar gairah kuliah,0
Tolong berikan rujukan buku untuk perkuliahan agar mahasiswa dapat mempersiapakan materi kuliah dengan lebih baik,ikan rujuk buku kuliah mahasiswa siapa materi kuliah lebih baik,1
Jangan terlalu banyak memberi tugas ke mahasiswa materi diperjelas jangan pasang wajah menyeramkan,jangan terlalu banyak beri tugas mahasiswa materi jelas jangan pasang wajah seram,0
Haarus lebih menjelaskan materi secara lebih terperinci,haarus lebih jelas materi cara lebih perinci,0
"Menunjuk mahasiswa secara acak untuk menjawab pertanyaan/soal , biar mahasiswa bisa secara menyeluruh tidak hanya fokus pada mahasiswa yang mencolok saja",tunjuk mahasiswa cara acak jawab tanya soal biar mahasiswa cara seluruh hanya fokus mahasiswa colok,0
Makasih sudah mengajarkan kami belajar dengan adanya tugas dari bapak,makasih ajar ajar ada tugas bapak,0
Terimakasih bapak atas ilmu yang teleah bapak berikan kepada kami,terimakasih bapak atas ilmu teleah bapak ikan kami,1
Tugas dikondisikan,tugas kondisi,0
Penjelasn materi dan contoh-contoh materi yang di berikan cukup bagus,penjelasn materi contoh materi di ikan cukup bagus,1
Terimakasih bapak atas tugas yang bapak berikan,terimakasih bapak atas tugas bapak ikan,1
Pada saat kuliah berlangsung saya berharap selalu membawa alat peraganya yang mendukung mengenai materi yang dibawakan,saat kuliah langsung harap selalu bawa alat aga dukung kena materi bawa,1
good,good,0
semangat,semangat,1
good,good,0
soal penilaian harus jelas,soal nilai jelas,1
Tingkatkan dalam menjelaskan materi,tingkat jelas materi,0
Tingkatkan lagi,tingkat,0
"Belajar yang rajin supaya jadi anak yang pandai, jangan lupa menabung",ajar rajin jadi anak pandai jangan lupa tabung,0
Jaga kesehatan ya Bapak,jaga sehat bapak,0
Pasang AC tiap kelas,pasang ac tiap kelas,1
Kelas pasang AC,kelas pasang ac,1
Kelas diberi AC,kelas beri ac,1
Tingkatkan,tingkat,0
trimakasih Bu Endah,trimakasih bu endah,0
Bu jangan terlalu muter2 dan ber-tele2 dlm menjelaskan materi. jangan PHP ya Bu kalau mau dingertiin mhs tolong ibu jg ngertiin kami,bu jangan terlalu muter2 ber-tele2 dlm jelas materi jangan php bu kalau mau dingertiin mhs ibu jg ngertiin,0
"Bu tolong dan tolong agar kami langsung pada poinnya. agar tidak terlalu bingung mhsnya dan nilainya biar bagus, tolong ya Bu",bu langsung poin agar tidak terlalu bingung mhsnya dan nilai biar bagus ya bu,0
Jika mhs sedang menulis dipapan tulis sering sekali cepat dihapus sedangkan mhs belum sempat menulis dipapan tulis,mhs sedang tulis papan tulis sering sekali cepat hapus sedang mhs sempat tulis papan tulis,0
hmmm,hmmm,0
semangat dalam mengajar,semangat ajar,0
"dosen sering membuat soal ujian yang susah buat dijawab, semoga besok2 membuat soal ujian sesuai dengan kemampuan mhsnya",dosen sering buat soal uji susah buat jawab moga besok2 buat soal uji sesuai mampu mhsnya,1
"Kurang asik, belum kamsimal",kurang asik kamsimal,0
tambah AC panas banget,tambah ac panas banget,1
bapak andang sehat terus ya... jangan ada jam penganti cukup double tandatangan...,bapak andang sehat terus jangan jam anti cukup double tandatangan,0
pak andang selalu menginginkan koneksi wifi lancar dan ac disetiap kelas.... seharusnya,pak andang selalu koneksi wifi lancar ac tiap kelas,1
kelas diberi ac biar nyaman,kelas beri ac biar nyaman,1
best of the best... kalau bisa jangan ada jam penganti,best of the best kalau jangan jam anti,0
AC iya tolong,ac iya,0
untuk matakuliah yang diajari pak andang saya memuaskan,matakuliah ajar pak andang muas,1
Perbanyak senyum Bu,banyak senyum bu,1
"Perbanyak senyum Bu, ngajarnya jangan terlalu cepat",banyak senyum bu ngajarnya jangan terlalu cepat,0
"makin cantik, ",makin cantik,1
memotivasi mhs untuk semangat belajar sudah bagus,motivasi mhs semangat ajar bagus,0
SEMOGA MENJADI DOSEN GO INTERNASIONAL.. AAMIIN,moga jadi dosen go internasional aamiin,1
lanjutkan,lanjut,0
cara menjelaskan kepada mahasiswa lebih baik lagi,cara jelas mahasiswa lebih baik,1
kelas diberi AC biar nyaman,kelas beri ac biar nyaman,1
jangan sampai ada jam pengganti,jangan ada jam ganti,0
"ibu sehat selalu Bu, jangan ada lagi jam pengganti, we love you",ibu sehat selalu bu jangan lagi jam ganti we love you,0
Ibu kalau ngara ada breaknya ding biar gak sepaneng,ibu kalau ngara breaknya ding biar gak sepaneng,0
semoga menjadi dosen go internasional! amin,moga jadi dosen go internasional amin,1
ok,,0
"Harus lebih galak sama Mhs, agar mhs tidak ribut sendiri.",lebih galak sama mhs mhs ribut sendiri,0
Sering masuk ya buk!!,sering masuk buk,1
Mohon ketika mengajar gunakan rujukan yg jelas..,mohon ajar rujuk yg jelas,0
"Pembatalan kuliahnya jangan dadakan, kasihan yg rumahnya jauh.",batal kuliah jangan dada kasihan yg rumah jauh,0
Matriks & ruang vektor jgn disatuin hari sama probailitas tanpa jeda.,matriks ruang vektor jgn disatuin hari sama probailitas jeda,0
Probabilitas dan ruang vektor jgn digabung kita jadi telat masuk.,probabilitas ruang vektor jgn gabung jadi telat masuk,0
we are not just faculty we are family,we are not just faculty we are family,0
Lanjutkan,lanjut,0
Yakusa,yakusa,0
Belajar itu tidak hanya bagaiman mengerti tapi rasa menghargai dengan menjaga kekeluargaan itu penting,ajar tidak bagaiman erti rasa harga jaga keluarga penting,1
Jangan pelit nilai,jangan pelit nilai,1
maju-mundur cantik-cantik,maju-mundur cantik,1
Terlalu fokus pada materi,terlalu fokus materi,0
Lanjutkan,lanjut,0
Beri pencerahan tentang skripsi,beri cerah skripsi,1
Harus dapat nilai A ya bu .. pada matakuliah Manajemen Teknologi,dapat nilai a bu matakuliah manajemen teknologi,1
Dapat Nilai A bu,nilai a bu,1
Kurang jelas saat memberikan tugas,kurang jelas beri tugas,0
Tugas jangan terlalu banyak pak,tugas jangan terlalu banyak pak,0
Menjadi yang lebih baik lagi pak,jadi lebih baik pak,1
Menjelaskan materi secara jelas/detail,jelas materi cara jelas detail,1
Sip ! Mantop !,sip mantop,0
Pada saat mengajar harus jelas lagi kalau memberi contoh-contohnya,saat ajar jelas kalau beri contoh,0
Lanjutkan perjuanganmu,lanjut juang,1
Supaya Nilai tidak susah lagi !,nilai susah,1
Lanjut Jadi Kaprodi,lanjut jadi kaprodi,0
Kami sayang Ibu Utaminingsih,sayang ibu utaminingsih,0
"Bu Tami Gokil , Bu Tami tetep ngajar kami ya bu",bu tam gokil bu tam tetep ngajar ya bu,1
Tetap semangat ya bu,tetap semangat bu,1
Keep fighting bu,keep fighting bu,0
Good job,good job,0
Lebih baik lagi bu,lebih baik bu,1
"Dosen bahasa indonesia ini sangat menguasai kelas, dan dekat dengan mahasiswa",dosen bahasa indonesia sangat kuasa kelas dekat mahasiswa,1
Lebih baik lagi ya bu,lebih baik ya bu,1
Lebih jelas lagi dalam menerangkan agar dapat memahami lebih jelas,lebih jelas dalam terang dapat paham lebih jelas,0
Go go PAM,go go pam,0
Nuwun,nuwun,0
Thanks,thanks,0
Tingkatkan,tingkat,0
Perbanyak tatap mula & latihan dan tugas-tugas,banyak tatap mula latih tugas,0
Tingkatkan kualitas..,tingkat kualitas,0
Lebih mendalami dalam pengajaran.,lebih dalam ajar,0
dosen teladan,dosen teladan,0
sangat baik meningkatkan minat belajar,sangat baik tingkat minat ajar,0
dosen bagus tapi sayang jarang masuk,dosen bagus sayang jarang masuk,1
lanjutkan,lanjut,0
bapak tepat waktu,bapak tepat waktu,1
sudah cukup baik pa....,cukup baik pa,1
cukup,cukup,0
sangat kurang baik...,sangat kurang baik,1
tidak kompeten dan tidak efektif dalam mengajar,kompeten tidak efektif ajar,0
bagus,bagus,1
siip,siip,0
good dosen,good dosen,0
Sangat menyenangkan,sangat senang,1
Teruskan lebih baik,terus lebih baik,1
Semoga menjadi lebih baik ,moga jadi lebih baik,1
thanks,thanks,0
"Baik, Cerdas ,memahami cara mengajar.Harus lebih Efektif lagi",baik cerdas paham cara ajar lebih efektif,1
Masalah waktunya diperpanjang Semoga semangat cara Bapak Mengajarkan materi di pertahankan dan dikembangkan lagi mhs.. bahagia kalau Bapak masuk,masalah waktu panjang moga semangat cara bapak ajar materi tahan kembang mhs bahagia kalau bapak masuk,0
Jangan pelit Nilai ya Pak,jangan pelit nilai pak,1
Semoga Dosen bisa lebih baik lagi ke depannya dengan memberikan materi sesuai dengan jan mengajarnya,moga dosen lebih baik ke depan beri materi sesuai jan ajar,1
"cuman 7 pertemuan, jarang kuliah dosennya ga ada masuk",cuman 7 temu jarang kuliah dosen ga masuk,1
Buk besuk besok masuk yang rajin ya biar mahasiswanya ngerti pelajaran ibu,buk besuk besok masuk rajin biar mahasiswa ngerti ajar ibu,0
No comment,no comment,1
"semoga lekas bisa mengikuti perkuliahan seperti biasa, maju terus Bu",moga lekas ikut kuliah biasa maju terus bu,1
"Ibu sehat terus ya Bu, jangan ada jam pengganti lagi Bu, We love You",ibu sehat terus bu jangan jam ganti bu we love you,0
tolong buat ppt tentang materi yang akan dijelaskan agar mahasiswa mengerti,buat ppt materi akan jelas mahasiswa erti,0
Joss,joss,0
Lebih jelas kalau ke contoh langsung jangan teori,lebih jelas kalau contoh langsung jangan teori,0
Lebih baik saja,lebih baik,1
Lebih baik lagi,lebih baik,1
"Lebih diperbanyak komunikasi dengan mahasiswanya, supaya kelas lebih hidup",lebih banyak komunikasi mahasiswa kelas lebih hidup,1
Ibu datangnya tepat waktu ya,ibu datang tepat waktu,1
"Ibu suaranya kurang keras jadi yang duduk dibelakang ramai, ngobrol sendiri",ibu suara kurang keras jadi duduk belakang ramai ngobrol sendiri,0
Semoga dapat nilai A,moga nilai a,1
Datang jangan telat ya,datang jangan telat,0
Pertahankan Apa yang sudah bagus untukmemperbaiki segala kekurangan karena manusia akan selalu tidak luput dari kekurangan,tahan apa sudah bagus untukmemperbaiki segala kurang manusia selalu luput kurang,1
Berikan contoh-contoh soal lebih banyak karena dengan banyak latihan bisa lebih mengerti/memahami materi,ikan contoh soal lebih banyak dengan banyak latih lebih erti paham materi,0
Saya Kadang kurang mengerti apa yang dijelaskan oleh dosen,kadang kurang erti apa jelas dosen,0
tingkatkan lagi terangkanya,tingkat angka,0
Menjelaskan lebih jelas lagi bila kami tidak mengerti harap maklumi.,jelas lebih jelas bila tidak erti harap maklum,0
Lebih jelas lagi kalau menjelaskan yg tegas.,lebih jelas kalau jelas yg tegas,0
Kalau bisa dipertahankan sampai akhir kuliah ini.,kalau tahan akhir kuliah,0
Sangat baik dan Ramah,sangat baik ramah,1
Semangat pak,semangat pak,1
Jangan mempersulit nilai pak,jangan sulit nilai pak,1
Good,good,0
Keren,keren,1
"Lebih banyak memberikan contoh soal, beserta penyelesaiannya",lebih banyak beri contoh soal selesai,0
Terbaik,baik,1
"lebih detail lagi saja penjelasannya, saat menyampaikan materi",lebih detail saja jelas sampai materi,1
Terbaik,baik,1
Tetap begini bu semangat,tetap begini bu semangat,1
Sudah Baik,baik,1
Buku catatan mohon dikembalikan,buku catat mohon,0
Cukup baik dalam pengajaran matakuliah,cukup baik ajar matakuliah,0
Terimakasih ibu cantik,terimakasih ibu cantik,1
Terimakasih ibu cantik,terimakasih ibu cantik,1
Tingkatkan selalu penguasaan kelas,tingkat selalu kuasa kelas,1
Good job,good job,0
kadang bahasanya tinggi jadi kurang paham,kadang bahasa tinggi jadi kurang paham,0
Semoga paham SPSDP dengan sempurna,moga paham spsdp sempurna,1
Semoga yang ambil SPSDP nilainya A semua,moga ambil spsdp nilai a semua,1
"Penjelasan setiap tolong sertakan dengan contohnya, agar mahasiswa dapat mengerti",jelas tiap serta contoh mahasiswa erti,0
"Semoga nilai SPSDPku bagus ya Allah, ibu baik deh",moga nilai spsdpku bagus allah ibu baik deh,1
"Bu, jangan banyak tugas",bu jangan banyak tugas,0
terlalu banyak tugas,terlalu banyak tugas,0
Good Job !,good job,0
Nice Job :),nice job,0
Semoga jadi individu lebih baik,moga jadi individu lebih baik,1
Hoams ...,hoams,0
Bu Lisna well !!! Bawel,bu lisna well bawel,0
"Bagus Bu, Lanjutkan, tapi jelasinnya terlalu cepat",bagus bu lanjut jelasinnya terlalu cepat,0
Mantap !!,mantap,1
nice (y) gan/sis,nice y gan sis,0
Lanjutkan Prestasimu,lanjut prestasi,1
Lebih tingkatkan tapi ketika penjelasan jangan terlalu cepat,lebih tingkat ketika jelas jangan terlalu cepat,0
semangat.,semangat,1
"menerangkan jangan kecepetan, supaya diberi slide materi perkuliahan",terang jangan kecepetan beri slide materi kuliah,1
"sudah cukup, saya jadi lebih bisa memahami materi",cukup jadi lebih paham materi,0
lebih santai lagi dalam mengajar,lebih santai dalam ajar,0
jangan gampang marah bu..,jangan gampang marah bu,0
lebih jelas lagi dalam mengajar jangan cepet-cepet,lebih jelas dalam ajar jangan cepet-cepet,0
ibunya senyum dikit dong... marah terus.,ibu senyum dikit dong marah terus,1
jangan banyak mengeluh dan jangan terlalu cepet,jangan banyak keluh jangan terlalu cepet,0
"jangan banyak mengeluh, jangan tergesa-gesa",jangan banyak keluh jangan gesa,1
kalau mengajar pelan-pelan saja bu.,kalau ajar pelan bu,0
"bu ifa mengajarnya baik, good job..",bu ifa ajar baik good job,0
terlalu cepat...,terlalu cepat,0
jangan terlalu cepet,jangan terlalu cepet,0
jangan terburu-buru saat mengajar,jangan buru ajar,0
