"komentar","sentimen","preprocessing_result"
"Cara belajarnya cukup menyenangkan","0","cara ajar cukup senang"
"sudah baik tingkatkan","0","sudah baik tingkat"
"Sangat bagus dalam mengajar","0","sangat bagus dalam ajar"
"Mohon live ciding pak , mohon mahasiswa yang telat toleransinya 10 menit saja","0","mohon live ciding pak mohon mahasiswa yang telat toleransi 10 menit saja"
"kurang live coding dan penerangan tentang coding yang sudah dibuat","0","kurang live coding dan terang tentang coding yang sudah buat"
"Kurang live coding dan menjelaskan coding jangan lewat picturenya doang","0","kurang live coding dan jelas coding jangan lewat picturenya doang"
"kurang live coding","0","kurang live coding"
"kurang coding","0","kurang coding"
"Lebih tegas dalam menyampaikan materi agar mahasiswa tidak mengantuk.","0","lebih tegas dalam sampai materi agar mahasiswa tidak antuk"
"Cukup baik dan sesuai","0","cukup baik dan sesuai"
"cukup menguasai","0","cukup kuasa"
"Perbanyak tugas dan kuis latihan","0","banyak tugas dan kuis latih"
"good","2","good"
"miss you are thebest","0","miss you are thebest"
"tidak ada komentar buat ibu. ibu terbaik ibu yang selalu mengerti mahasiswanya","0","tidak ada komentar buat ibu ibu baik ibu yang selalu erti mahasiswa"
"miss ana is the best","2","miss ana is the best"
"miss ana terbaik","0","miss ana baik"
"Semangat miss, terimakasih/ get well Soon miss","0","semangat miss terimakasih get well soon miss"
"Tanks  a lot, maam. hope you recover soon","2","tanks a lot maam hope you recover soon"
"Cepat sembuh miss, semoga operasinya lancar tanpa halangan apapun","0","cepat sembuh miss moga operasi lancar tanpa halang apa"
"Good job","2","good job"
"semoga cepet sembuh bu operasinya lancar","0","moga cepet sembuh bu operasi lancar"
"Lanjut kan bu","0","lanjut kan bu"
"semoga lebih baik","0","moga lebih baik"
"Tetap seperti ini bu kami sudahnyaman dengan cara mengajar ibu seperti ini","0","tetap seperti ini bu kami sudahnyaman dengan cara ajar ibu seperti ini"
"cepat sembuh miss : semoga operasinya lancar","0","cepat sembuh miss moga operasi lancar"
"ibu fitri terbaik","0","ibu fitri baik"
"materi kuliah dijelaskan kadan tak berurutan","0","materi kuliah jelas kad tak rurut"
"terlalu cepat","0","terlalu cepat"
"Perbanyak dosen kayak begini..","0","banyak dosen kayak begini"
"Lebih meningkatkan materi yg diajarkan.","0","lebih tingkat materi yg ajar"
"Bapak Luar biasa.","2","bapak luar biasa"
"Tolong jangan terlalu cepat dalam menyampaikan materi.","0","tolong jangan terlalu cepat dalam sampai materi"
"dosen tiddak membebani banyak tugas dan tau kesibukan mahasiswa Mantab","0","dosen tiddak beban banyak tugas dan tau sibuk mahasiswa mantab"
"mohon lebih jelas lagi.","0","mohon lebih jelas lagi"
"Bagus sekali bapaknya mengajar","0","bagus sekali bapak ajar"
"dosen cukup enjoy nggak neko-neko sama mhs gaul keren","0","dosen cukup enjoy nggak neko sama mhs gaul keren"
"Semangat Pak","0","semangat pak"
"Tetap semangat Pak","0","tetap semangat pak"
"Kesempurnaan hanya milik Allah","0","sempurna hanya milik allah"
"Kasih rujukan pak buat dipelajari","0","kasih rujuk pak buat ajar"
"Jangan terlalu sering mengejarkan E-learning, sukses terus Pak","0","jangan terlalu sering kejar e-learning sukses terus pak"
"Metode belajarnya diubah agar lebih menarik","0","metode ajar ubah agar lebih tarik"
"Trims krn tdk ada keterlambatan utk hadir pd MK Ibu..","0","trims krn tdk ada lambat utk hadir pd mk ibu"
"Utk tugas2 dan Nilai UTS diberitahukan mhs ya bu...","0","utk tugas2 dan nilai uts diberitahukan mhs ya bu"
"Maju trs bu kami selalu ada dibelakang mendukung...","0","maju trs bu kami selalu ada belakang dukung"
"mudah dipahami enak didengar..","0","mudah paham enak dengar"
"Semoga smakin banyakdisukai mhs dan disyang keluarga... contoh dosen bagi yg lain.","0","moga smakin banyakdisukai mhs dan disyang keluarga contoh dosen bagi yg lain"
"Mterinya klu bisa dibikin modul..","0","mterinya klu bisa bikin modul"
"Lebih sabar ya pak menghadapi kami...","0","lebih sabar ya pak hadap kami"
"Tambahi latihan tugas dan ajari hosting posting upload live php di web ya pak..","0","tambah latih tugas dan ajar hosting posting upload live php di web ya pak"
"Sudah cukup untuk saya..","0","sudah cukup untuk saya"
"Tugas dan deadline pengumpulan terlalu mepet.","0","tugas dan deadline kumpul terlalu mepet"
"Metode penyampaian kurang jelas.","0","metode sampai kurang jelas"
"Sudah bagus, pertahankan dan tingkatkan.","0","sudah bagus tahan dan tingkat"
"Semangat terus bu,, jaga kesehatan..","0","semangat terus bu jaga sehat"
"Semangat buk kedepannya semakin dibanyakin contoh soalnya ya buk","0","semangat buk depan makin dibanyakin contoh soal ya buk"
"good job","2","good job"
"Semoga bisa lebih baik","0","moga bisa lebih baik"
"saran aja bu kalau menjelaskan mohon suaranya di perjelas terimakasih","0","saran aja bu kalau jelas mohon suara di jelas terimakasih"
"Mohon jelaskan materi dengan lebih rinci lagi","0","mohon jelas materi dengan lebih rinci lagi"
"Jangan terlalu cepat dalam memberikan materi","0","jangan terlalu cepat dalam beri materi"
"Semoga bisa mengajar lebih baik lagi","0","moga bisa ajar lebih baik lagi"
"Tingkatkan lagi penjelasanny karena kami kurang paham dan pertegas lagi cara mengajarnya","0","tingkat lagi penjelasanny karena kami kurang paham dan tegas lagi cara ajar"
"Tetap semangat bu tetap istiqomah","0","tetap semangat bu tetap istiqomah"
"menjelaskan terlalu cepat pulang tepat waktu","0","jelas terlalu cepat pulang tepat waktu"
"tetap sabar bu","0","tetap sabar bu"
"Kurang infcresting maaf bu","0","kurang infcresting maaf bu"
"lebih detail dalam menjelaskan materi, dan  menjelaskannya materi jangan terlalu cepat","0","lebih detail dalam jelas materi dan jelas materi jangan terlalu cepat"
"penyampain materi jangan terlalau cepat","0","penyampain materi jangan lalau cepat"
"Lebih rinci lagi dan di perjelas dalam menjelaskan materi, jangan terlalu cepaat menjelaskannya, lebih dekat lagi dengan mahasiswa/mahasiswi yang selalu diam dikelas","0","lebih rinci lagi dan di jelas dalam jelas materi jangan terlalu cepaat jelas lebih dekat lagi dengan mahasiswa mahasiswi yang selalu diam kelas"
"harus bnyk latihan soal agar lebih menguasai","0","harus bnyk latih soal agar lebih kuasa"
"Bu menerangkannya terlalu cepaat, pulang tepat waktu","0","bu terang terlalu cepaat pulang tepat waktu"
"terlalu cepat dalam berbicara","0","terlalu cepat dalam bicara"
"tugasnya tolong lebih manusiawi bu","0","tugas tolong lebih manusiawi bu"
"Sebaiknya jika menerangkan lebih rinci ya bu","0","baik jika terang lebih rinci ya bu"
"Lebih banyak latihan agar mahasiswanya mudah menguasai materi","0","lebih banyak latih agar mahasiswa mudah kuasa materi"
"mantap lanjutkan","2","mantap lanjut"
"Dosen diganti katena untuk materi menguasi tetapi dalam menyampaikan kurang,jadi saya menjadi bingung","0","dosen ganti katena untuk materi kuasi tetapi dalam sampai kurang jadi saya jadi bingung"
"sudah bagus untuk saya","0","sudah bagus untuk saya"
"Kalau jelasin pelan2 ya Pak Kita susah memeahaminya","0","kalau jelasin pelan2 ya pak kita susah memeahaminya"
"kurang dipahami","0","kurang paham"
"Pertahankan dan tingkatkan lebih baik lagi","0","tahan dan tingkat lebih baik lagi"
"Sebiknya Dosen memberikan penjelasan yang lebih jelas","0","bik dosen beri jelas yang lebih jelas"
"Sebaiknya dalam mengajar Dosen memahami situasi kelas, apakah kelas itu ramai atau tidak. Karena dalm mengajar dosen harus sigap dan jelas dalam menerangkan materi","0","baik dalam ajar dosen paham situasi kelas apakah kelas itu ramai atau tidak karena dalm ajar dosen harus sigap dan jelas dalam terang materi"
"Penjelasan terlalu cepat dan sulit dipahami","0","jelas terlalu cepat dan sulit paham"
"Jelaskan materi secara runtut dan pelan pelan","0","jelas materi cara runtut dan pelan pelan"
"Dalam Menjelaskan kurang kondusif, Tulisan di whiteboard kurang jelas","0","dalam jelas kurang kondusif tulis di whiteboard kurang jelas"
"semangat pak","0","semangat pak"
"bpk is the best","2","bpk is the best"
"Kurang memberikan motivasi kepada mahasiswa agar meningkatkan minat belajar","0","kurang beri motivasi kepada mahasiswa agar tingkat minat ajar"
"Cara mengajarnya kurang baik sehingga kami hasiswa sulit memehami pelajaran yang di jelaskan","0","cara ajar kurang baik sehingga kami hasiswa sulit ham ajar yang di jelas"
"Jika mengajar Dosen harap memakai sepatu bukan sandal dan berpenampilan rapih","0","jika ajar dosen harap pakai sepatu bukan sandal dan tampil rapih"
"Kalau mengajar memakai sandal seharusnya memakai sepatu","0","kalau ajar pakai sandal harus pakai sepatu"
"Lebih disiplin  lagi dan kurangi kecepatan saat mengajar","0","lebih disiplin lagi dan kurang cepat saat ajar"
"tolong tulisan bapak dirapihkan lagi kami sudah terlalu berimajinasi","0","tolong tulis bapak dirapihkan lagi kami sudah terlalu imajinasi"
"Cara mengajarnya kurang efektif dikarenakan banyak duduk dan tidak pakai mix","0","cara ajar kurang efektif karena banyak duduk dan tidak pakai mix"
"Ibu tolong kalau mengajar jangn duduk saja, apalagi ini mata kuliah banyak hitungannya","0","ibu tolong kalau ajar jangn duduk saja apalagi ini mata kuliah banyak hitung"
"wes terbaiklah pertahankan, ibunya mirip Raisa jadi pingin dinyanyikan","0","wes baik tahan ibu mirip raisa jadi pingin nyanyi"
"Change to be better","0","change to be better"
"love you","0","love you"
"Jangan hanya duduk dan memeganglaptop","0","jangan hanya duduk dan memeganglaptop"
"ketika melihat wajab ibu hatiku berdebar, wajahmu seperti bunga lotus yang sedangmekar","0","ketika lihat wajab ibu hati debar wajah seperti bunga lotus yang sedangmekar"
"sistem belajarnya kurang efisien, ibu dosen yang satu ini makin hari makin cantik kok bisa","0","sistem ajar kurang efisien ibu dosen yang satu ini makin hari makin cantik kok bisa"
"Pakai Mix, suara ibu kecil","0","pakai mix suara ibu kecil"
"pakai micropone ya bu biar kedengaran","0","pakai micropone ya bu biar dengar"
"perbanyak contoh soal","0","banyak contoh soal"
"menerangkan di papan tulis bu jangan hanya duduk diam dikursi bu","0","terang di papan tulis bu jangan hanya duduk diam kursi bu"
"Rujukan kuliah harus jelas","0","rujuk kuliah harus jelas"
"usahakan untuk bu Isana agar datang tepat waktu","0","usaha untuk bu isana agar datang tepat waktu"
"mohon motivasidengan pendekatanyang baik","0","mohon motivasidengan pendekatanyang baik"
"menikmati pembelajaran pertemuan ke 11","0","nikmat ajar temu ke 11"
"luar biasa","2","luar biasa"
"lebih baik memberikan rujukan perkuliahan","0","lebih baik beri rujuk kuliah"
"metode pengajaran jangan terlalu monoton","0","metode ajar jangan terlalu monoton"
"sistem pembelajaran kurang efektif","0","sistem ajar kurang efektif"
"kurang mendiskripsikan materi agar mahasiswa lebih jelas","0","kurang skripsi materi agar mahasiswa lebih jelas"
"metode pengajarannya harap diuah","0","metode ajar harap diuah"
"kurang kisi-kisi, pelit nilai","0","kurang kisi pelit nilai"
"sebaiknya menggunakan kisi-kisi saat UTS/UAS","0","baik guna kisi saat uts uas"
"Bapak sering tidak hadir saat perkulihan dan juga dalam hal menilai sangat tidak menyenangkan","0","bapak sering tidak hadir saat perkulihan dan juga dalam hal nilai sangat tidak senang"
"presentasinnya kurang efektif","0","presentasinnya kurang efektif"
"Menurut saya, baiknya lebih murah dapat memberikan nilai jangan terlalu pelit nilai pak","0","turut saya baik lebih murah dapat beri nilai jangan terlalu pelit nilai pak"
"pelit nilai","0","pelit nilai"
"semangat terus pak","0","semangat terus pak"
"mohon lebih diperhatikan lagi  mahasiswanya, dan dipermudah cara penjelasannya","0","mohon lebih perhati lagi mahasiswa dan mudah cara jelas"
"jangan pelit nilai ya pak soalnya gak paham materi","0","jangan pelit nilai ya pak soal gak paham materi"
"Tmbah tugas yg banyak.","0","tmbah tugas yg banyak"
"Jangan terlalu sibuk bu....","0","jangan terlalu sibuk bu"
"yang sabar bu","0","yang sabar bu"
"Semangat trs bu tingkatkan belajar dikelas...","0","semangat trs bu tingkat ajar kelas"
"Dalam pembelajaran mhs agar lbh meningkatkan kemampuan dalam speaking.","0","dalam ajar mhs agar lbh tingkat mampu dalam speaking"
"Seharusnya menggunakan cara belajar yg dapat meningkatkan minat mhsnya.","0","harus guna cara ajar yg dapat tingkat minat mhsnya"
"Perbanyak contoh materi.","0","banyak contoh materi"
"Tetap menjadi dosen yang baik ibu","0","tetap jadi dosen yang baik ibu"
"Semoga kedepannya lebih baik lagi","0","moga depan lebih baik lagi"
"Lanjutkan","2","lanjut"
"Semoga ujiannya sesuai dengan materi dan mudah dipahami mahasiswa/i","0","moga uji sesuai dengan materi dan mudah paham mahasiswa i"
"Lebih tegas kepada mhs agar lebih memperhatikan anda","0","lebih tegas kepada mhs agar lebih perhati anda"
"Terimakasih bu","0","terimakasih bu"
"Bapak terbaik.","0","bapak baik"
"dosen mampu memberikan materi dg baik dan jelas.","0","dosen mampu beri materi dg baik dan jelas"
"Lanjutkan !!","2","lanjut"
"Saya senang dg metode pembelajarannya.","0","saya senang dg metode ajar"
"Agar tdk terpaku oleh diktat..","0","agar tdk terpa oleh diktat"
"kata yg kotor tolong jngn dikeluarkan dr mulut","0","kata yg kotor tolong jngn keluar dr mulut"
"Kami butuh AC","0","kami butuh ac"
"dosenya agak plin plan titak konsisten","0","dosenya agak plin plan titak konsisten"
"belajar lebih baik lagi bos","0","ajar lebih baik lagi bos"
"menej waktu yng releban supaya mahasiswa bisa mengkondisikan waktu","0","menej waktu yng reban supaya mahasiswa bisa kondisi waktu"
"Semoga dapat ditingkatkan","0","moga dapat tingkat"
"kami butuh AC","0","kami butuh ac"
"Jangan suka telat ya Pak","0","jangan suka telat ya pak"
"terlalu banyak mahasiswa melakukan presentasi untuk menjelaskan meteri, sehingga ada beberapa materi yang tidak terlalu menguasai","0","terlalu banyak mahasiswa laku presentasi untuk jelas meter sehingga ada beberapa materi yang tidak terlalu kuasa"
"pak, ada baiknya untuk menyapaikan dan menjelaskan materi sebelum memberi tugas kepada mahasiswa (tugas presentasi) terima kasih ","0","pak ada baik untuk sapai dan jelas materi belum beri tugas kepada mahasiswa tugas presentasi terima kasih"
"metode pembelajaran jangan presentasi terus sesekali diterangkan juga sebelum memberitugas presentasi","0","metode ajar jangan presentasi terus sekal terang juga belum memberitugas presentasi"
"ada baiknya sebelum bapak memberiwaktu untuk mahasiswa mempresentasikan tugas, bapak memberikan materi sebelum itu","0","ada baik belum bapak memberiwaktu untuk mahasiswa presentasi tugas bapak beri materi belum itu"
"mahasiswa sebaiknya jangan hanya disuruh buat tugas dan dipresentasikan disetiap sub makul. jelasin juga dong. kami setiap pertemuan itu hanya mendengarkan teman presentasi saja","0","mahasiswa baik jangan hanya suruh buat tugas dan presentasi tiap sub makul jelasin juga dong kami tiap temu itu hanya dengar teman presentasi saja"
"jangan terlalu banyak tugas dan presentasi mohon lebih menjelaskan materi dengan baik. supaya meningkatkan minat mahasiswa","0","jangan terlalu banyak tugas dan presentasi mohon lebih jelas materi dengan baik supaya tingkat minat mahasiswa"
"jangan hanya presentasi saja. tolong dijelaskan juga . karena jika hanya mendengarkan presentasi kami belum mengerti","0","jangan hanya presentasi saja tolong jelas juga karena jika hanya dengar presentasi kami belum erti"
"cara menyampaikan sedikit bermasalah, maka dari itu mahasiwa tidak terlalu tertarik untuk materi yang disampaikan beliau","0","cara sampai sedikit masalah maka dari itu mahasiwa tidak terlalu tarik untuk materi yang sampai beliau"
"lebih banyak lagi untuk menguasai materi sehingga mahasiswa mengerti","0","lebih banyak lagi untuk kuasa materi sehingga mahasiswa erti"
"Tingkatkan, Perluas Parkiran Ruangan di AC semua","0","tingkat luas parkir ruang di ac semua"
"best buat pak afan","0","best buat pak afan"
"istimewa","0","istimewa"
"good job","2","good job"
"dosen istimewa","0","dosen istimewa"
"Teruskan Pak bimbing kami dan beri kami nilai yang bagus jangan pelit nilai","0","terus pak bimbing kami dan beri kami nilai yang bagus jangan pelit nilai"
"Soal UAS nya jangan susah2 pak.","0","soal uas nya jangan susah2 pak"
"Kami senang dosen pak afan, kami senang dengan cara mengajar pak afan lanjutkan","0","kami senang dosen pak afan kami senang dengan cara ajar pak afan lanjut"
"Semangat ibu lanjutkan ","0","semangat ibu lanjut"
"S","0","s"
"penyampaian ibu sudah bagus tapi ibu lebih tegas dan suaranya lebih kuat kalau bisa","0","sampai ibu sudah bagus tapi ibu lebih tegas dan suara lebih kuat kalau bisa"
"Jangan sering bad mood pak.","0","jangan sering bad mood pak"
"jangan ngasih tugas terus nggeh bu mahasiswa butuh bernafas","0","jangan ngasih tugas terus nggeh bu mahasiswa butuh nafas"
"Bpk selalu mengawali pelajaran dg baca basmalah dan surat pendek.","0","bpk selalu awal ajar dg baca basmalah dan surat pendek"
"perbanyak contoh soal dan penyelesaiannya","0","banyak contoh soal dan selesai"
"Sudah sangat baik.","0","sudah sangat baik"
"sudah baik tingkatkan pak","0","sudah baik tingkat pak"
"jangan pelit memberi nilai pak","0","jangan pelit beri nilai pak"
"Diluar jam kelas dosen diharapkan lbh bs menanggapi pertanyaan dr mhs baik itu scr online pun online.","0","luar jam kelas dosen harap lbh bs tanggap tanya dr mhs baik itu scr online pun online"
"good job","2","good job"
"bu janganterlalu sering diskusi ya bingung nanti belajarnya","0","bu janganterlalu sering diskusi ya bingung nanti ajar"
"pak nilainya lah pak dipermudah","0","pak nilai lah pak mudah"
"good jab bu","2","good jab bu"
"kalau mengajar jangan cuman menyuruh mahasiswa untuk membaca slide dan bapak duduk dibelakang nanti mahasiswanya asik sendiri","0","kalau ajar jangan cuman suruh mahasiswa untuk baca slide dan bapak duduk belakang nanti mahasiswa asik sendiri"
"sama nilai jangan pelit ya pak","0","sama nilai jangan pelit ya pak"
"Dosennya membuat minat belajar bhs inggris bertambah.","0","dosen buat minat ajar bhs inggris tambah"
"kuis jangan dadakan","0","kuis jangan dada"
"jangan mendadak kuis pak","0","jangan dadak kuis pak"
"jangan galak - galak pak","0","jangan galak - galak pak"
"sebaiknya lebih jelas lahi menjelaskanya","0","baik lebih jelas lah menjelaskanya"
"lebih ditingkatkan lagi","0","lebih tingkat lagi"
"jangan terlalu sering memberi tugas","0","jangan terlalu sering beri tugas"
"sudah baik dalam mengajar","0","sudah baik dalam ajar"
"jangan sering telat ya bu","0","jangan sering telat ya bu"
"lebih tegas lagi ","0","lebih tegas lagi"
"datang ke kelas lebih tepat waktu","0","datang ke kelas lebih tepat waktu"
"Sabar, jangan marah bu"" biar awet ,muda","0","sabar jangan marah bu biar awet muda"
"Bu terus Cuti, Sayang Ibu..","0","bu terus cuti sayang ibu"
"Kuliah paling enak karena ada AC","0","kuliah paling enak karena ada ac"
"ACnya ditambah biar dingin","0","acnya tambah biar dingin"
"lebih semangat pak","0","lebih semangat pak"
"agar lebih baik lagi mengajarnya","0","agar lebih baik lagi ajar"
"Sebaiknya contoh yang ibu berikan jangan terlalu jauh dari topik yang seharusnya, pada saat menjelaskan jangan terlalu cepat","0","baik contoh yang ibu ikan jangan terlalu jauh dari topik yang harus pada saat jelas jangan terlalu cepat"
"Good","2","good"
"The best teacher","2","the best teacher"
"Is the best pak","2","is the best pak"
"Dosen tersebut sudah sesuai dengan pengajaran perkuliahan yang seharusnya","0","dosen sebut sudah sesuai dengan ajar kuliah yang harus"
"Jangan suka diskusi, mungkin sekali-kali bisa survei langsung untuk PKN","0","jangan suka diskusi mungkin sekali-kali bisa survei langsung untuk pkn"
"lanjutkan","2","lanjut"
"Baik, dan dapat dipahami saat mengajar","0","baik dan dapat paham saat ajar"
"cukup baik","0","cukup baik"
"jangan terlalu bersifat tegas tak semua sama","0","jangan terlalu sifat tegas tak semua sama"
"Tingkatkan model pembelajaran dengan lebih baik","0","tingkat model ajar dengan lebih baik"
"Pertahankan dan tingkatkan lagi","0","tahan dan tingkat lagi"
"Nilai UTS bagusin ya pak","0","nilai uts bagusin ya pak"
"Sempurna","0","sempurna"
"Selalu jadi yang terbaik diantara yang baik","0","selalu jadi yang baik antara yang baik"
"Good","2","good"
"Chat dengan beliau lewat WA sering tidak dibalas","0","chat dengan beliau lewat wa sering tidak balas"
"Jangan pelit-pelit nilai","0","jangan pelit nilai"
"Memuaskan","0","muas"
"Cara ngajarnya sudah bagus, semoga lebih bagus lagi","0","cara ngajarnya sudah bagus moga lebih bagus lagi"
"Terimakasih bu","0","terimakasih bu"
"Sukses terus bu kartika,ajari kami dengan hati","0","sukses terus bu kartika ajar kami dengan hati"
"Bu kalau kuis, bilang-bilang","0","bu kalau kuis bilang"
"Bu kalua buat kuis jangan mendadak","0","bu kalua buat kuis jangan dadak"
"Saat perkuliahan berlangsung mohon untuk diberi contoh soal dan menjelaskan di papan tulis  (untuk soal hitungan)","0","saat kuliah langsung mohon untuk beri contoh soal dan jelas di papan tulis untuk soal hitung"
"Bu, kalau bisa pas ngejelasin contoh soal itu ditulis di papan tulis, soalnya kalu hanya melihat di PPT aja cara-caranya saya tidak mengerti dan kurang maksud","0","bu kalau bisa pas ngejelasin contoh soal itu tulis di papan tulis soal kalu hanya lihat di ppt aja cara saya tidak erti dan kurang maksud"
"Seharusnya ibu mengajak tidak sering menggunakan bahasa inggris , dan jika ada yang bertanya mohon dijawab dan jgn membuat mahasiswa bingung","0","harus ibu ajak tidak sering guna bahasa inggris dan jika ada yang tanya mohon jawab dan jgn buat mahasiswa bingung"
"Sebaiknya jika ada mahasiswa yang bnertanya, dan meras a binggung, ibu harus menanggapinya dan cara ibu mengajar sangat sulit dipahami","0","baik jika ada mahasiswa yang bnertanya dan ras a binggung ibu harus tanggap dan cara ibu ajar sangat sulit paham"
"Pengajaran dosen ini tidak memuaskan dengan cara menjelaskannya kurang dimengerti","0","ajar dosen ini tidak muas dengan cara jelas kurang erti"
"Sebenarnya ketika menerangkan contoh soal agar bisa menjelaskan di papan tulis jadi tidak hanya di slide agar mahasiswa bisa mengerti dengan baik","0","benar ketika terang contoh soal agar bisa jelas di papan tulis jadi tidak hanya di slide agar mahasiswa bisa erti dengan baik"
"Semoga kedepannya lebih baik lagi","0","moga depan lebih baik lagi"
"Bikin bingung saat ngejelasin","0","bikin bingung saat ngejelasin"
"Tolong harus bisa menguasai kelas dengan baik dan jangan mengajar orang pintar saja","0","tolong harus bisa kuasa kelas dengan baik dan jangan ajar orang pintar saja"
"Semoga cara mengajarnya lebih bisa menguasai situasi","0","moga cara ajar lebih bisa kuasa situasi"
"Mohon ketika menjelaskan pelajaran secara runtut, mohon PTT pelajaran diberikan 1 minggu pelajaran dimulai karena untuk menunjang pemahaman","0","mohon ketika jelas ajar cara runtut mohon ptt ajar beri 1 minggu ajar mulai karena untuk tunjang paham"
"Untuk soal yg rumit tolong dijelaskan di papan tulis supaya lebih memahami alur penyelesaiannya","0","untuk soal yg rumit tolong jelas di papan tulis supaya lebih paham alur selesai"
"Ibu seharusnya berinteraksi dengan mahasiswa agar kami lebih mengerti","0","ibu harus interaksi dengan mahasiswa agar kami lebih erti"
"Lebih baik lagimenguasai kelas dan cara mengajarnya lebih baik lagoi","0","lebih baik lagimenguasai kelas dan cara ajar lebih baik lago"
"Lebih bisa memberikan materi secara jelas saat perkuliahan","0","lebih bisa beri materi cara jelas saat kuliah"
"Saat mengajar tolong menggunakan papan tulis, karena matakuliah ini kebanyakan menghitung","0","saat ajar tolong guna papan tulis karena matakuliah ini banyak hitung"
"Saat mengajar tolong menggunakan papan tulis, karena matakuliah ini kebanyakan menghitung","0","saat ajar tolong guna papan tulis karena matakuliah ini banyak hitung"
"Mengajarnya bu utami dapat meningkatkan minat belajar/ mudah dipahami","0","ajar bu utami dapat tingkat minat ajar mudah paham"
"Enak, asyik, slowly, dan menyenangkan menurut saya","0","enak asyik slowly dan senang turut saya"
"UAS open book ya","0","uas open book ya"
"UAS open book ya bu","0","uas open book ya bu"
"Sudah bagus tingkatkan","0","sudah bagus tingkat"
"Semangat","0","semangat"
"Lanjutkan bu","2","lanjut bu"
"Dosennya kurang tepat waktu","0","dosen kurang tepat waktu"
"Materi dijadikan hardcopy pada masing# mahasiswa","0","materi jadi hardcopy pada masing mahasiswa"
"Semoga Allah meridhoi pembelajaran kita","0","moga allah meridhoi ajar kita"
"Rujukan diperjelas","0","rujuk jelas"
"Mohon mengajar tepat waktu","0","mohon ajar tepat waktu"
"tolong bagikan hasil uts","0","tolong bagi hasil uts"
"good","2","good"
"best","2","best"
"selalu tepat waktu tetap semangat memberikan ilmu yg bermanfatan bagi mhsw","0","selalu tepat waktu tetap semangat beri ilmu yg bermanfatan bagi mhsw"
"cara mengajarnya enak mudah dipahami mhsw","0","cara ajar enak mudah paham mhsw"
"sempurna","0","sempurna"
"Jangan terlambat.","0","jangan lambat"
"Nilai yng bagus ya pak","0","nilai yng bagus ya pak"
"Tolong jangan terlalu absen pada saat pertemuan kuliah","0","tolong jangan terlalu absen pada saat temu kuliah"
"Sebaiknya tidak terlalu jauh melencebg dari materi (banyak cerita)","0","baik tidak terlalu jauh melencebg dari materi banyak cerita"
"Dalam slide power point agar menggunakan bahasa indonesia","0","dalam slide power point agar guna bahasa indonesia"
"materi yg diajarkan ketinggalan jadi praktikumnya tdk menguasai","0","materi yg ajar tinggal jadi praktikum tdk kuasa"
"Memulai dan mengakhiri perkuliahan tepat waktu","0","mulai dan akhir kuliah tepat waktu"
"Pertahankan kegiatan mengajar dalam kuliah","0","tahan giat ajar dalam kuliah"
"Dosen paling mengerti dengan mahasiswa","0","dosen paling erti dengan mahasiswa"
"Bapak baik sekali","0","bapak baik sekali"
"Best teacher semoga menjadi gur terbaik.","2","best teacher moga jadi gur baik"
"Bapak sangat baik kami jadi termotifasi...","0","bapak sangat baik kami jadi termotifasi"
"Semangat terus...","0","semangat terus"
"terbaik","0","baik"
"Tingkatkan lagi pak...","0","tingkat lagi pak"
"Sudah sangat bagus cuma kurang menguasai kelas.","0","sudah sangat bagus cuma kurang kuasa kelas"
"Dosen sudah menguasai materi dan kelas dg baik.","0","dosen sudah kuasa materi dan kelas dg baik"
"mhs dibuat aktif dikelas dg suasana kelas yg lebih menyenangkan.","0","mhs buat aktif kelas dg suasana kelas yg lebih senang"
"Penguasaan kelas diperlukan","0","kuasa kelas perlu"
"Bagaimana caranya agar pembelajaran dikelas menjadi menarik","0","bagaimana cara agar ajar kelas jadi tarik"
"Tepat waktu","0","tepat waktu"
"Menambah berkah mencari ilmu.","0","tambah berkah cari ilmu"
"Lebih menguasai tentang kalkulus dan matematika.","0","lebih kuasa tentang kalkulus dan matematika"
"Pada saat perkuliahan berlangsung sebaiknya jangan terlalu fokus dan serius pada mata kuliah harus di sertai dengan humor agar mahasiswa tidak bosan dan jenuh dengan apa yang di sampaikan","0","pada saat kuliah langsung baik jangan terlalu fokus dan serius pada mata kuliah harus di serta dengan humor agar mahasiswa tidak bosan dan jenuh dengan apa yang di sampai"
"Semoga Barokah","0","moga barokah"
"Kalau menerangkan sesekali memperhatikan muridnya apakah mahasiswa tersebut paham atau tidak","0","kalau terang sekal perhati murid apakah mahasiswa sebut paham atau tidak"
"Bpk Dosen lebih memperhatikan mahasiswa  apalagi dengan mhs. yang belum paham dengan pemberian materi dari bapak serta merespon balik ketika ada hal yng ditanyakan","0","bpk dosen lebih perhati mahasiswa apalagi dengan mhs yang belum paham dengan beri materi dari bapak serta merespon balik ketika ada hal yng tanya"
"Kosakata dip0erjelas, lebih memperhatiakan mahasiswa yng belum paham dengan materi yang dijelaskan (tidak terpaku pada mhs. yng paham)","0","kosakata dip0erjelas lebih memperhatiakan mahasiswa yng belum paham dengan materi yang jelas tidak terpa pada mhs yng paham"
"Cara penyampaiannya harus diperjelas lagi","0","cara sampai harus jelas lagi"
"Tugasnya kurangi ya buuu....","0","tugas kurang ya buuu"
